name,surveys,exclude_from_release,title,description
cs_b_use_bi,[1],,[I favor arresting and prosecuting people who use opioids in a way not as prescribed by a doctor.] Do you disagree or agree with the following statements?,
cs_c_sentencedjail_bi,[1],,[People found guilty of misuse of opioids/prescription pain medication need to be sentenced to jail or prison.] Do you disagree or agree with the following statements?,
cs_d_incarceratedaccess_bi,[1],,[Individuals who are incarcerated with an opioid use disorder/addiction should get access to evidence-based treatment while incarcerated.] Do you disagree or agree with the following statements?,
cs_e_paroleaccess_bi,[1],,[Individuals who are on parole or probation with an opioid use disorder/addiction should get access to evidence-based treatment.] Do you disagree or agree with the following statements?,
cs_a_obtain_uni,[1],,[I favor arresting and prosecuting people who obtain opioids/pain medication from sources other than a medical provider.] Do you agree with the following statements?,
cs_b_use_uni,[1],,[I favor arresting and prosecuting people who use opioids in a way not as prescribed by a doctor.] Do you agree with the following statements?,
cs_c_sentencedjail_uni,[1],,[People found guilty of misuse of opioids/prescription pain medication need to be sentenced to jail or prison.] Do you agree with the following statements?,
cs_d_incarceratedaccess_uni,[1],,[Individuals who are incarcerated with an opioid use disorder/addiction should get access to evidence-based treatment while incarcerated.] Do you agree with the following statements?,
cs_e_paroleaccess_uni,[1],,[Individuals who are on parole or probation with an opioid use disorder/addiction should get access to evidence-based treatment.] Do you agree with the following statements?,
kb_a_definition_bi,[1],,[Opioid addiction is defined by a person continuing to use opioids despite negative consequences.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,
kb_b_anyuse_bi,[1],,[Anyone who uses opioids long-term for pain has an opioid addiction.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,
kb_c_selfcontrol_bi,[1],,[Most people who develop and/or struggle with opioid use disorder/addiction lack self-control.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,
kb_d_moralfail_bi,[1],,[Misuse of opioids is a moral failing.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,
kb_e_quitanytime_bi,[1],,[A person struggling with opioid use disorder/addiction can quit using anytime if they choose.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,
kb_f_stopbreathing_bi,[1],,"[When misused, opioids can slow your breathing or even cause you to stop breathing entirely and lead to an overdose or death.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.",
kb_g_recover_bi,[1],,[Evidence-based treatments for opioid use disorder can recover people from opioid addiction.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,
kb_h_medicalcondition_bi,[1],,[Opioid use disorder is a medical condition like other chronic health conditions.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,
kb_i_rockbottom_bi,[1],,[A person struggling with opioid use disorder/addiction must hit rock bottom before they are ready to accept treatment.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,
kb_j_easyfind_bi,[1],,[It is easy to find good opioid use disorder treatment.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,
kb_k_fda_bi,[1],,[The FDA has approved medications that are effective in treating opioid use disorder/addiction.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,
kb_l_jailhelps_bi,[1],,[Jailing someone with an opioid use disorder for at least a few days will help them by reducing their risk for an overdose.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,
kb_m_medhoax_bi,[1],,"[Medication for opioid use disorder (e.g., methadone, buprenorphine, or naltrexone) is a hoax.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.",
kb_n_medabuse_bi,[1],,"[Medication for opioid use disorder (e.g., methadone, buprenorphine/suboxone, or naltrexone/vivitrol) is just substituting one form of drug abuse for another type of drug abuse.] Answer whether you disagree or agree with the following statements about opio",
kb_o_longterm_bi,[1],,[People with an opioid use disorder/addiction need long-term treatment with medications.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,
kb_p_responsible_bi,[1],,[People who misuse opioids can function as responsible members of society.] Answer whether you disagree or agree with the following statements about opioid use disorder/addiction.,
kb_a_definition_uni,[1],,[Opioid addiction is defined by a person continuing to use opioids despite negative consequences.] Answer whether you agree with the following statements about opioid use disorder/addiction.,
kb_b_anyuse_uni,[1],,[Anyone who uses opioids long-term for pain has an opioid addiction.] Answer whether you agree with the following statements about opioid use disorder/addiction.,
kb_c_selfcontrol_uni,[1],,[Most people who develop and/or struggle with opioid use disorder/addiction lack self-control.] Answer whether you agree with the following statements about opioid use disorder/addiction.,
kb_d_moralfail_uni,[1],,[Misuse of opioids is a moral failing.] Answer whether you agree with the following statements about opioid use disorder/addiction.,
kb_e_quitanytime_uni,[1],,[A person struggling with opioid use disorder/addiction can quit using anytime if they choose.] Answer whether you agree with the following statements about opioid use disorder/addiction.,
kb_f_stopbreathing_uni,[1],,"[When misused, opioids can slow your breathing or even cause you to stop breathing entirely and lead to an overdose or death.] Answer whether you agree with the following statements about opioid use disorder/addiction.",
kb_g_recover_uni,[1],,[Evidence-based treatments for opioid use disorder can recover people from opioid addiction.] Answer whether you agree with the following statements about opioid use disorder/addiction.,
kb_h_medicalcondition_uni,[1],,[Opioid use disorder is a medical condition like other chronic health conditions.] Answer whether you agree with the following statements about opioid use disorder/addiction.,
kb_i_rockbottom_uni,[1],,[A person struggling with opioid use disorder/addiction must hit rock bottom before they are ready to accept treatment.] Answer whether you agree with the following statements about opioid use disorder/addiction.,
kb_j_easyfind_uni,[1],,[It is easy to find good opioid use disorder treatment.] Answer whether you agree with the following statements about opioid use disorder/addiction.,
kb_k_fda_uni,[1],,[The FDA has approved medications that are effective in treating opioid use disorder/addiction.] Answer whether you agree with the following statements about opioid use disorder/addiction.,
kb_l_jailhelps_uni,[1],,[Jailing someone with an opioid use disorder for at least a few days will help them by reducing their risk for an overdose.] Answer whether you agree with the following statements about opioid use disorder/addiction.,
kb_m_medhoax_uni,[1],,"[Medication for opioid use disorder (e.g., methadone, buprenorphine, or naltrexone) is a hoax.] Answer whether you agree with the following statements about opioid use disorder/addiction.",
kb_n_medabuse_uni,[1],,"[Medication for opioid use disorder (e.g., methadone, buprenorphine/suboxone, or naltrexone/vivitrol) is just substituting one form of drug abuse for another type of drug abuse.] Answer whether you agree with the following statements about opioid use disor",
kb_o_longterm_uni,[1],,[People with an opioid use disorder/addiction need long-term treatment with medications.] Answer whether you agree with the following statements about opioid use disorder/addiction.,
kb_p_responsible_uni,[1],,[People who misuse opioids can function as responsible members of society.] Answer whether you agree with the following statements about opioid use disorder/addiction.,
personaluse_ever,"[1, 2, 3, 4, 5, 7]",,[Have you ever used opioids/prescription pain medication illicitly obtained or used in a way not prescribed by a doctor?] The next set of questions are about your own personal experiences or the experiences of any family members or close friends.,
personaloverdose_ever,"[1, 2, 3, 7, 8, 9]",,[Have you ever overdosed from opioids/prescription pain medication?] The next set of questions are about your own personal experiences or the experiences of any family members or close friends.,
personalconviction_ever,"[1, 2, 3, 4, 5, 7, 8, 9]",,[Have you ever been convicted of any misdemeanor or felony crime?] The next set of questions are about your own personal experiences or the experiences of any family members or close friends.,
personalincarceration_ever,"[1, 2, 3, 4, 5, 7, 8, 9]",,[Have you ever been incarcerated in jail or prison?] The next set of questions are about your own personal experiences or the experiences of any family members or close friends.,
familyuse_ever,"[1, 2, 3, 4, 5, 7]",,[Have any family members or close friends you know ever used opioids/prescription pain medication illicitly obtained or used in a way not prescribed by a doctor?] The next set of questions are about your own personal experiences or the experiences of any f,
familyoverdose_ever,"[1, 2, 3, 7, 8, 9]",,[Have any of your family members or close friends ever overdosed from opioids/prescription pain medication?] The next set of questions are about your own personal experiences or the experiences of any family members or close friends.,
familyconviction_ever,"[1, 2, 3, 4, 5, 7, 8, 9]",,[Have any of your family members or close friends ever been convicted of any misdemeanor or felony crime?] The next set of questions are about your own personal experiences or the experiences of any family members or close friends.,
familyincarceration_ever,"[1, 2, 3, 4, 5, 7, 8, 9]",,[Have any of your family members or close friends ever been incarcerated in jail or prison?] The next set of questions are about your own personal experiences or the experiences of any family members or close friends.,
startdt_jcoin,"[1, 2, 4]",,JCOIN section start date/time,
enddt_jcoin,"[1, 2, 4]",,JCOIN section end date/time,
duration_jcoin,"[1, 2, 4]",,JCOIN Omnibus Section: Interview duration in minutes,
surv_mode,"[1, 2, 3, 4, 5, 7, 8]",,Survey interview mode (online or phone),
surv_lang,"[1, 2, 3, 4, 5, 7, 8]",,Survey Interview Language,
device,"[1, 2, 3, 4, 5, 7, 8]",,Device,
gender,"[1, 2, 3, 4, 5, 7, 8, 9]",,Respondent male/female sex,
age4,"[1, 2, 3, 4, 5, 7, 8, 9]",,Age - 4 Categories,
age7,"[1, 2, 3, 4, 5, 8]",,Age - 7 Categories,
racethnicity,"[1, 2, 3, 4, 5, 8]",,Combined Race/Ethnicity,
educ4,"[1, 2, 3]",,4-level education,
marital,"[1, 2, 3, 4, 5, 7, 8, 9]",,Marital Status,
employ,"[1, 2, 3, 4, 5, 8]",,Current Employment Status,
region4,"[1, 2, 3, 4, 5, 7, 8, 9]",,4-level region,
metro,"[1, 2, 3, 4, 5, 7, 8, 9]",,Metropolitan area flag,
internet,"[1, 2, 3, 4, 5, 7, 8]",,"HH internet access via dial-up, DSL, or cable broadband at home",
housing,"[1, 2, 3, 4, 5, 7, 8, 9]",,Home Ownership,
home_type,"[1, 2, 3, 4, 5, 7, 8, 9]",,Type of building of panelists' residence,
phoneservice,"[1, 2, 3, 4, 5, 7, 8]",,Telephone service for the household,
hhsize,"[1, 2, 3, 4, 5, 7, 8, 9]",,Household size (including children),
hh612,"[1, 2, 3, 4, 5, 7, 8, 9]",,Number of HH members age 6-12,
hh1317,"[1, 2, 3, 4, 5, 7, 8, 9]",,Number of HH members age 13-17,
hh18ov,"[1, 2, 3, 4, 5, 7, 8, 9]",,Number of HH members age 18+,
stigma_scale_score,"[1, 2, 3, 4, 5, 7, 8, 9]",,Stigma scale: average score of 6 stigma items; higher scores indicate higher stigma.,
kb_b_anyuse_correct,[1],,"Anyone who uses opioids long-term for pain has an opioid addiction [False]: disagreement coded as ""correct""",
kb_e_quitanytime_correct,[1],,"A person struggling with opioid use disorder/addiction can quit using anytime if they choose [False]: disagreement coded as ""correct""",
kb_i_rockbottom_correct,[1],,"A person struggling with opioid use disorder/addiction must hit rock bottom before they are ready to accept treatment [False]: disagreement coded as ""correct""",
kb_j_easyfind_correct,[1],,"It is easy to find good opioid use disorder treatment [False]: disagreement coded as ""correct""",
kb_n_medabuse_correct,[1],,"Medication for opioid use disorder (e.g., methadone, buprenorphine/suboxone, or naltrexone/vivitrol) is just substituting one form of drug abuse for another type of drug abuse [False]: disagreement coded as ""correct""",
kb_a_definition_correct,[1],,Opioid addiction is defined by a person continuing to use opioids despite negative consequences [True]: agreement coded as correct,
kb_f_stopbreathing_correct,[1],,"When misused, opioids can slow your breathing or even cause you to stop breathing entirely and lead to an overdose or death [True]: agreement coded as correct",
kb_g_recover_correct,[1],,Evidence-based treatments for opioid use disorder can recover people from opioid addiction [True]: agreement coded as correct,
kb_h_medicalcondition_correct,[1],,Opioid use disorder is a medical condition like other chronic health conditions [True]: agreement coded as correct,
kb_k_fda_correct,[1],,The FDA has approved medications that are effective in treating opioid use disorder/addiction [True]: agreement coded as correct,
policy_attitudes_scale,"[1, 4]",,Policy attitudes scale score from average of eight items. Higher scores indicate more support for policies benefitting those with OUD.,
discrimination_scale_score,"[1, 2]",,Acceptance of discrimination scale score from average of four items. Higher scores indicate more acceptance of discrimination.,
knowledgescore_new,[1],,"Sum of 10 knowledge-based items, with higher scores indicating more knowledge.",
criminality_scale_score,[1],,Perceptions of criminality scale score. Average of five items with higher scores indicating more perceived criminality toward those with OUD.,
ps_a_medicaid,"[1, 2, 3, 4, 5, 7, 8, 9]",,"I favor expanding Medicaid insurance benefits for low income families to provide coverage for treatment of opioid use disorders/addiction problems, including addiction to prescription pain medications",
ps_b_naloxone,"[1, 2, 3, 4, 5, 7, 8]",,"I favor making naloxone (also known as 'Narcan'), a medication that can quickly reverse the effects of a person experiencing an opioid overdose, widely available and affordable without a prescription",
ps_c_mandatory,"[1, 2, 3, 4, 5, 7, 8, 9]",,I believe that making drug treatment mandatory is an effective way to help people with an opioid use disorder,
ps_d_govspend,"[1, 2, 3, 4, 5, 7, 8]",,I favor increasing government spending to improve treatment of opioid use disorder/addiction,
ds_e_schools,"[1, 2]",,High schools and colleges should be allowed to dismiss or expel a person with an opioid use disorder/addiction,
ds_f_physicians,"[1, 2]",,Physicians and other healthcare providers should be allowed to refuse to treat a person with an opioid use disorder/addiction,
ds_g_employers,"[1, 2]",,Employers should be allowed to deny employment to a person with a current opioid use disorder/addiction,
ds_h_landlords,"[1, 2]",,Landlords should be allowed to deny housing to a person with a current opioid use disorder/addiction,
ps_i_seekmedical,[1],,I favor passing laws to protect people from criminal charges for drug crimes if they seek medical help for experiencing an opioid/prescription pain medication problem,
ps_j_jailhealth,"[1, 4]",,I believe that incarceration/jail is an effective way to improve the health of people with an opioid use disorder,
ps_k_jailoverdose,"[1, 4]",,I believe that incarceration/jail is an effective way to reduce the risk of overdosing for people with an opioid use disorder,
ps_l_jailtreatment,"[1, 4, 7, 8, 9]",,"I believe that people in jail/prison with an opioid use disorder/addiction problem should get access to medication for opioid use disorder (e.g., methadone, buprenorphine, or naltrexone)",
ss_e_dangerous,"[1, 2, 3, 4, 5, 7, 8, 9]",,People with a current addiction to opioids/prescription pain medications are more dangerous than the general population,
ss_f_trust,"[1, 2, 3, 4, 5, 7, 8, 9]",,A person who is currently addicted to opioids/prescription pain medication cannot be trusted,
ss_a_historywork,"[1, 2, 3, 4, 5, 7, 8, 9]",,I would be willing to have a person with a past history of opioid use disorder/addiction start working closely with me on a job,
ss_b_historymarry,"[1, 2, 3, 4, 5, 7, 8, 9]",,I am comfortable having a person with a past history of opioid use disorder/addiction marry into my family,
ss_c_currentwork,"[1, 2, 3, 4, 5, 7, 8, 9]",,I would be willing to have a person with a current opioid use disorder/addiction start working closely with me on a job,
ss_d_currentmarry,"[1, 2, 3, 4, 5, 7, 8, 9]",,I would be comfortable having a person with a current opioid use disorder/addiction marry into my family,
cs_a_obtain,[1],,I favor arresting and prosecuting people who obtain opioids/pain medication from sources other than a medical provider,
cs_b_use,[1],,I favor arresting and prosecuting people who use opioids in a way not as prescribed by a doctor,
cs_c_sentencedjail,[1],,People found guilty of misuse of opioids/prescription pain medication need to be sentenced to jail or prison,
cs_d_incarceratedaccess,[1],,Individuals who are incarcerated with an opioid use disorder/addiction should get access to evidence-based treatment while incarcerated,
cs_e_paroleaccess,[1],,Individuals who are on parole or probation with an opioid use disorder/addiction should get access to evidence-based treatment,
kb_a_definition,"[1, 3]",,Opioid addiction is defined by a person continuing to use opioids despite negative consequences,
kb_b_anyuse,"[1, 3, 7, 8, 9]",,Anyone who uses opioids long-term for pain has an opioid addiction,
kb_c_selfcontrol,"[1, 3, 7, 8, 9]",,Most people who develop and/or struggle with opioid use disorder/addiction lack self-control,
kb_d_moralfail,[1],,Misuse of opioids is a moral failing,
kb_e_quitanytime,"[1, 3, 7, 8, 9]",,A person struggling with opioid use disorder/addiction can quit using anytime if they choose,
kb_f_stopbreathing,"[1, 3]",,"When misused, opioids can slow your breathing or even cause you to stop breathing entirely and lead to an overdose or death",
kb_g_recover,[1],,Evidence-based treatments for opioid use disorder can recover people from opioid addiction,
kb_h_medicalcondition,"[1, 3, 9]",,Opioid use disorder is a medical condition like other chronic health conditions,
kb_i_rockbottom,"[1, 3]",,A person struggling with opioid use disorder/addiction must hit rock bottom before they are ready to accept treatment,
kb_j_easyfind,"[1, 3]",,It is easy to find good opioid use disorder treatment,
kb_k_fda,[1],,The FDA has approved medications that are effective in treating opioid use disorder/addiction,
kb_l_jailhelps,"[1, 3]",,Jailing someone with an opioid use disorder for at least a few days will help them by reducing their risk for an overdose,
kb_m_medhoax,[1],,"Medication for opioid use disorder (e.g., methadone, buprenorphine, or naltrexone) is a hoax",
kb_n_medabuse,[1],,"Medication for opioid use disorder (e.g., methadone, buprenorphine/suboxone, or naltrexone/vivitrol) is just substituting one form of drug abuse for another type of drug abuse",
kb_o_longterm,[1],,People with an opioid use disorder/addiction need long-term treatment with medications,
kb_p_responsible,[1],,People who misuse opioids can function as responsible members of society,
ps_a_medicaid_rev,[1],,Reverse Coded Variable,
ps_b_naloxone_rev,[1],,Reverse Coded Variable,
ps_d_govspend_rev,[1],,Reverse Coded Variable,
ps_l_jailtreatment_rev,[1],,Reverse Coded Variable,
ps_j_jailhealth_rev,"[1, 4]",,Reverse Coded Variable,
ps_k_jailoverdose_rev,"[1, 4]",,Reverse Coded Variable,
ss_a_historywork_rev,"[1, 4, 5]",,Reverse Coded Variable,
ss_b_historymarry_rev,"[1, 4, 5]",,Reverse Coded Variable,
ss_c_currentwork_rev,"[1, 4, 5]",,Reverse Coded Variable,
ss_d_currentmarry_rev,"[1, 4, 5]",,Reverse Coded Variable,
cs_d_incarceratedaccess_rev,[1],,Reverse Coded Variable,
cs_e_paroleaccess_rev,[1],,Reverse Coded Variable,
kb_a_definition_rev,[1],,Reverse Coded Variable,
kb_f_stopbreathing_rev,[1],,Reverse Coded Variable,
kb_g_recover_rev,[1],,Reverse Coded Variable,
kb_h_medicalcondition_rev,[1],,Reverse Coded Variable,
kb_k_fda_rev,[1],,Reverse Coded Variable,
kb_p_responsible_rev,[1],,Reverse Coded Variable,
income_relativemedian,"[1, 2, 3]",,Income variable coded into approximately above and below the median for their state.,
medicaidexpansionstate,[1],,State medicaid expansion status,
crimjustexp_personal,[1],,Personal incarceration and conviction combined.,
crimjustexp_family,[1],,Family/friend incarceration or conviction combined.,
incarceration_foroud,[1],,"Incarceration for OUD factor analysis scale, with higher scores indicating more support for incarcerating those who misuse opioids.",
justicebased_intervention,[1],,"Justice based interventions for OUD factor analysis scale, with higher scores indicating more agreement with interventions for OUD involving the justice system",
opioidmisandcrimjust_personal,[1],,Personal opioid misuse and criminal justice experience.,
stigma_bipolarscaleonly,[1],,Stigma scale score of ONLY cases that completed the survey with the bipolar scale,
stigma_unipolarscaleonly,[1],,Stigma scale score of ONLY cases that completed the survey with the unipolar scale,
discrimination_unipolarscaleonly,[1],,Discrimination scale score of ONLY cases that completed the survey with the bipolar scale,
discrimination_bipolarscaleonly,[1],,Discrimination scale score of ONLY caes that completed the survey with the unipolar scale,
disregardofoud,[1],,"Disregard of OUD factor analysis scale, with higher scores indicating more disregard of OUD as a medical condition",
racedummy_white1,[1],,,
racedummy_black1,[1],,,
racedummy_other1,[1],,,
racedummy_hispanic1,[1],,,
racedummy_multi1,[1],,,
racedummy_asian1,[1],,,
sex01,[1],,,
educationdichot_college1,[1],,,
employdichot_employed1,[1],,,
incomedichot_abovemed1,[1],,,
personalopioidmisuse_yes1,[1],,,
familyopioidmisuse_yes1,[1],,,
anycrimjustpersonal_yes1,[1],,,
anycrimjustfamily_yes1,[1],,,
educationdummy_lesshs1,[1],,,
educationdummy_somecollege1,[1],,,
educationdummy_hsdiploma1,[1],,,
educationdummy_collegedegree1,[1],,,
incomedummy_less25k,"[1, 3]",,,
incomedummy_25to49k,"[1, 3]",,,
incomedummy_50to84k,"[1, 3]",,,
incomedummy_85to150k,"[1, 3]",,,
incomedummy_over150k,"[1, 3]",,,
race_1,[1],,RACETHNICITY=1.0,
race_2,[1],,RACETHNICITY=2.0,
race_3,[1],,RACETHNICITY=3.0,
race_4,[1],,RACETHNICITY=4.0,
race_5,[1],,RACETHNICITY=5.0,
race_6,[1],,RACETHNICITY=6.0,
employment_1,[1],,EMPLOY=Working - as a paid employee,
employment_2,[1],,EMPLOY=Working - self-employed,
employment_3,[1],,EMPLOY=Not working - on temporary layoff from a job,
employment_4,[1],,EMPLOY=Not working - looking for work,
employment_5,[1],,EMPLOY=Not working - retired,
employment_6,[1],,EMPLOY=Not working - disabled,
employment_7,[1],,EMPLOY=Not working - other,
zemployment_1,[1],,Zscore:  EMPLOY=Working - as a paid employee,
zemployment_2,[1],,Zscore:  EMPLOY=Working - self-employed,
zemployment_3,[1],,Zscore:  EMPLOY=Not working - on temporary layoff from a job,
zemployment_4,[1],,Zscore:  EMPLOY=Not working - looking for work,
zemployment_5,[1],,Zscore:  EMPLOY=Not working - retired,
zemployment_6,[1],,Zscore:  EMPLOY=Not working - disabled,
zemployment_7,[1],,Zscore:  EMPLOY=Not working - other,
zincomedummy_less25k,[1],,Zscore(incomedummy_LESS25K),
zincomedummy_25to49k,[1],,Zscore(incomedummy_25to49K),
zincomedummy_50to84k,[1],,Zscore(incomedummy_50to84K),
zincomedummy_85to150k,[1],,Zscore(incomedummy_85to150K),
zincomedummy_over150k,[1],,Zscore(incomedummy_OVER150K),
zpersonalopioidmisuse_yes1,[1],,Zscore(PersonalOpioidMisuse_YES1),
zfamilyopioidmisuse_yes1,[1],,Zscore(FamilyOpioidMisuse_YES1),
zanycrimjustpersonal_yes1,[1],,Zscore(AnyCrimJustPersonal_YES1),
zanycrimjustfamily_yes1,[1],,Zscore(AnyCrimJustFamily_YES1),
zeducationdummy_lesshs1,[1],,Zscore(educationdummy_LESSHS1),
zeducationdummy_somecollege1,[1],,Zscore(educationdummy_SOMECOLLEGE1),
zeducationdummy_hsdiploma1,[1],,Zscore(educationdummy_HSDIPLOMA1),
zeducationdummy_collegedegree1,[1],,Zscore(educationdummy_COLLEGEDEGREE1),
zsex01,[1],,Zscore(SEX01),
zdisregardofoud,[1],,"Zscore:  Disregard of OUD factor analysis scale, with higher scores indicating more disregard of OUD as a medical condition",
zracedummy_white1,[1],,Zscore(racedummy_WHITE1),
zracedummy_black1,[1],,Zscore(racedummy_BLACK1),
zracedummy_other1,[1],,Zscore(racedummy_OTHER1),
zracedummy_hispanic1,[1],,Zscore(racedummy_HISPANIC1),
zracedummy_multi1,[1],,Zscore(racedummy_MULTI1),
zracedummy_asian1,[1],,Zscore(racedummy_ASIAN1),
zcriminality_scale_score,[1],,Zscore:  Perceptions of criminality scale score. Average of five items with higher scores indicating more perceived criminality toward those with OUD.,
zdiscrimination_scale_score,[1],,Zscore:  Acceptance of discrimination scale score from average of four items. Higher scores indicate more acceptance of discrimination.,
zpolicy_attitudes_scale,[1],,Zscore:  Policy attitudes scale score from average of eight items. Higher scores indicate more support for policies benefitting those with OUD.,
